loan_amount,loan_repaid,crop_insured,years_of_exp_in_sericulture,training_on_sericulture,krishi_pond,borewell_recharge,rain_harvesting,own_compost_manure,own_vermi_compost,trenching_mulching,bio_fertilizers,mechanization,mulberry_diseases,affected_by_pest,rearing_cost,instrument_mgmt_cost,temp_mgmt,humidity_mgmt,airvent_temp_mgmt,rotary_mounting,seri_total_subsidy,income_per_acre,chawki_bivol,rearing_cost_missing
0,1,0,20,1,0,0,0,1,0,1,1,1,0,1,50000,3000,1,1,1,0,320000,1.00E+05,0,50000
0,1,0,30,1,0,0,0,1,0,1,1,1,1,1,20000,2000,1,1,1,0,99000,66666.66667,0,20000
0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,40000,3000,1,1,1,0,0,90909.09091,0,40000
0,1,0,10,0,0,0,0,1,0,1,1,1,0,1,55000,2000,1,1,1,0,0,75000,0,
0,1,0,18,0,0,0,0,1,0,0,1,1,1,1,25000,4000,1,1,1,0,0,45454.54545,0,25000
150000,1,0,35,1,0,0,0,1,0,1,1,1,1,1,30000,1500,1,1,1,0,78000,0,0,30000
0,1,0,10,0,0,0,0,1,0,0,1,1,1,1,40000,3000,1,1,1,0,0,22222.22222,0,40000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,1,50000,1000,1,1,1,0,0,83333.33333,0,50000
0,1,0,30,0,0,0,0,0,0,0,1,1,1,1,35000,3000,1,1,1,0,78000,86956.52174,0,35000
0,1,0,30,0,0,0,0,1,0,0,1,1,1,1,15000,5000,1,1,1,0,50000,20000,0,15000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,0,60000,3000,1,1,1,0,50000,153846.1538,0,60000
175000,0,0,40,0,0,0,0,1,0,0,1,1,0,1,40000,1000,1,1,1,0,38000,31250,0,40000
5000,1,0,20,0,1,0,0,1,0,0,1,1,1,1,50000,3000,1,1,1,0,20000,66666.66667,0,50000
80000,0,0,10,1,0,0,0,0,0,0,1,0,1,1,40000,3000,1,1,1,0,24000,26000,0,40000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,1,60000,300,1,1,1,0,50000,35000,0,60000
0,1,0,3,0,0,0,0,1,0,1,1,1,1,1,15000,1000,1,1,1,0,15000,83333.33333,0,15000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,0,4000,3000,1,1,1,0,50000,-24600,0,4000
0,1,0,10,0,0,0,0,1,0,0,1,1,1,1,30000,3000,1,1,1,0,50000,90909.09091,0,30000
0,1,0,10,0,0,0,0,1,0,0,1,1,1,1,40000,3000,1,1,1,0,0,28571.42857,0,40000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,1,1.00E+05,2500,1,1,1,0,50000,75000,0,1.00E+05
0,1,0,10,0,0,0,0,1,0,0,1,1,1,1,10000,10000,1,1,1,0,0,25000,0,10000
0,1,0,25,1,0,0,0,1,0,0,1,1,1,1,3000,3000,1,1,1,0,0,-6666.666667,0,3000
0,1,0,30,0,0,0,0,0,0,0,1,0,1,1,40000,3000,1,1,1,0,70000,90909.09091,0,40000
35000,0,0,20,0,0,0,0,0,0,0,1,1,0,1,50000,5000,1,1,1,0,28000,40000,0,50000
40000,1,0,30,1,0,0,0,1,0,0,1,0,1,1,50000,1000,1,1,1,1,0,32051.28205,0,50000
250000,1,0,25,1,0,0,0,0,0,0,1,1,1,1,75000,1500,1,1,1,0,80000,48000,0,75000
50000,0,0,30,1,0,0,0,1,0,0,1,1,0,1,25000,1000,1,1,1,0,12000,14285.71429,0,25000
2.00E+05,0,0,20,0,0,0,0,1,0,0,0,0,1,1,10000,400,1,1,1,0,35000,12903.22581,0,10000
150000,0,0,10,1,0,0,0,0,0,1,0,0,1,1,50000,10000,1,1,1,0,8.00E+05,25000,0,50000
0,1,0,10,0,0,0,0,1,1,0,1,1,1,1,25000,10000,1,1,1,0,0,16666.66667,0,25000
0,1,0,30,0,0,0,0,0,0,0,1,1,1,1,45000,3000,1,1,1,0,0,41666.66667,0,45000
25000,1,0,20,0,0,0,0,1,0,1,1,1,1,1,80000,2500,1,1,1,0,0,11111.11111,0,80000
0,1,0,20,1,1,0,0,1,0,0,1,0,1,1,35000,5000,1,1,1,0,0,16666.66667,0,35000
0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,30000,2000,1,1,1,0,0,50000,0,30000
0,1,0,40,1,0,0,0,1,0,0,1,1,1,1,50000,5000,1,1,1,0,0,60000,0,50000
0,1,0,30,1,0,0,0,1,0,0,1,1,1,1,40000,3000,1,1,1,0,0,16666.66667,0,40000
0,1,0,30,0,0,0,0,0,0,0,1,1,0,0,20000,1000,1,1,1,0,40000,15384.61538,0,20000
0,1,0,15,0,0,0,0,0,0,1,1,1,1,1,30000,5000,1,1,1,0,50000,61538.46154,0,30000
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,20000,1000,1,1,1,0,40000,57142.85714,0,20000
0,1,0,15,0,0,0,0,0,0,0,1,0,1,1,30000,2000,1,1,1,0,0,18000,0,30000
0,1,0,20,0,0,0,0,1,0,0,1,0,1,1,50000,2000,1,1,1,0,40000,16666.66667,0,50000
0,1,0,15,0,0,0,0,1,0,0,1,1,1,1,50000,20000,1,1,1,0,25000,50000,0,50000
50000,1,0,20,0,0,0,0,0,0,0,1,0,1,1,50000,3000,0,0,0,0,50000,8333.333333,0,50000
95000,1,0,30,0,0,0,0,0,0,0,1,1,1,1,16000,1000,1,1,1,0,0,-41666.66667,0,16000
0,1,0,5,0,0,0,0,1,0,0,1,1,1,1,40000,2000,1,1,1,0,0,1.00E+05,0,
0,1,0,6,1,0,0,0,1,0,0,0,0,1,1,4500,4000,1,1,1,0,0,0,0,4500
0,1,0,40,0,0,0,0,1,1,0,1,1,1,1,47000,2500,1,1,1,0,75000,75000,0,47000
0,1,0,15,1,0,0,0,1,0,0,1,1,1,1,50000,2000,1,1,1,0,40000,20000,0,50000
0,1,0,10,0,0,0,0,1,1,0,1,1,1,1,40000,3000,1,1,1,0,0,95238.09524,0,40000
0,1,0,12,0,0,0,0,1,0,0,0,1,1,1,50000,3000,1,1,1,0,150000,1.00E+05,0,50000
0,1,0,30,0,0,0,0,1,0,0,0,1,1,1,30000,1600,1,1,1,0,20000,8333.333333,0,30000
2.00E+05,0,0,20,0,0,0,0,1,0,0,1,1,1,1,1.00E+05,2000,1,1,1,0,125000,40000,0,1.00E+05
160000,0,0,40,0,0,0,0,1,0,0,1,1,1,1,30000,5000,1,1,1,0,0,20000,0,30000
60000,0,0,15,1,0,0,0,1,0,0,1,1,1,1,80000,11500,0,0,1,0,0,75000,0,80000
250000,1,0,20,0,0,0,0,0,0,0,1,0,1,1,50000,2000,1,1,1,0,75000,16666.66667,0,50000
225000,0,0,40,1,0,1,0,0,0,0,1,1,1,1,30000,1200,1,1,1,0,30000,-9615.384615,0,30000
2.00E+05,0,0,30,0,0,0,0,1,0,0,1,1,1,1,40000,2000,1,1,1,0,17000,12500,0,40000
0,1,0,15,0,0,0,0,1,0,0,0,0,1,1,20000,2000,1,1,1,0,0,15000,0,20000
0,1,0,20,1,0,0,0,1,0,0,1,1,1,1,16000,2000,1,1,1,0,95000,71428.57143,0,16000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,1,30000,0,1,1,1,0,50000,60000,0,30000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,1,40000,1500,1,1,1,0,0,108333.3333,0,40000
0,1,0,30,0,0,0,0,1,0,0,1,1,1,1,35000,2000,1,1,1,0,0,50000,0,35000
40000,1,0,30,0,1,0,0,1,0,0,0,0,1,1,20000,1000,1,1,1,0,130000,40000,0,20000
0,1,0,15,0,0,0,0,1,0,0,1,1,1,1,40000,1500,1,1,1,0,55000,83333.33333,0,40000
2.00E+05,0,0,20,0,0,0,0,1,0,0,1,1,1,1,40000,2000,1,1,1,0,70000,20000,0,40000
0,1,0,30,0,0,0,0,0,0,0,1,1,1,1,20000,2000,0,1,1,0,45000,3278.688525,0,20000
0,1,0,15,1,0,0,0,0,0,0,1,1,1,1,40000,2000,1,1,1,0,0,83333.33333,0,40000
250000,0,0,20,0,0,0,0,1,0,0,1,1,1,1,25000,1000,1,1,1,0,35000,16666.66667,0,
0,1,0,20,0,0,0,0,0,0,0,1,1,1,1,40000,2000,1,1,1,0,0,66666.66667,0,
0,1,0,20,0,0,0,0,0,0,0,1,1,1,1,30000,3000,1,1,1,0,103900,31250,0,30000
0,1,0,20,0,0,0,0,1,0,0,1,0,1,1,20000,2000,1,1,1,0,0,97087.37864,0,20000
60000,1,0,30,0,1,0,0,0,0,0,1,1,1,1,25000,0,1,1,1,0,0,30000,0,25000
120000,1,0,15,1,0,0,0,0,0,0,0,1,1,1,40000,5000,1,1,1,0,14000,38000,0,40000
0,1,0,10,0,0,0,0,1,0,0,1,1,1,1,50000,0,1,1,1,0,0,150000,0,50000
0,1,0,10,1,1,0,0,1,0,0,1,1,1,1,25000,10000,1,1,1,0,0,93750,0,25000
0,1,0,10,0,0,0,0,1,0,0,1,1,1,1,30000,6000,1,1,1,0,55000,150000,0,30000
0,1,0,15,0,0,0,0,1,0,0,1,1,1,1,35000,4000,1,1,1,0,75000,40000,0,35000
40000,0,0,30,0,1,0,0,1,0,0,1,1,1,1,0,3000,1,1,1,0,0,93750,0,0
0,1,0,10,0,0,0,0,1,0,0,1,1,1,1,60000,3000,1,1,1,1,75000,42857.14286,0,60000
0,1,0,25,0,0,0,0,0,0,0,1,1,0,0,40000,1000,1,1,1,0,0,5000,0,40000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,1,15000,2000,1,1,1,0,16000,12500,0,15000
142200,1,0,15,0,0,0,0,0,0,0,1,1,1,1,40000,6000,1,1,1,0,50000,40000,0,40000
240000,0,0,10,1,0,0,0,1,0,0,1,1,1,1,45000,1500,1,1,1,0,50000,10000,0,45000
0,1,0,16,0,0,0,0,0,0,0,1,1,1,1,80000,5000,1,1,1,0,45000,40909.09091,0,80000
0,1,0,30,0,0,0,0,0,0,0,1,1,1,1,20000,1000,1,1,1,0,40000,2500,0,20000
2.00E+05,1,0,10,0,0,0,0,1,0,0,1,1,1,1,10000,2000,1,1,1,0,0,70000,0,10000
0,1,0,30,0,1,0,0,1,0,0,1,1,1,1,80000,2000,1,1,1,1,137000,60096.15385,0,80000
0,1,0,20,0,0,0,0,0,0,1,1,0,1,1,40000,3000,1,1,1,0,0,-4166.666667,0,40000
2.00E+05,1,0,15,0,0,0,0,1,0,0,0,1,1,0,20000,2000,1,1,1,0,50000,75000,0,20000
0,1,0,20,0,0,0,0,1,0,0,0,1,1,1,30000,2000,1,1,1,0,0,1.00E+05,0,30000
0,1,0,10,1,1,0,0,1,0,0,1,1,1,1,70000,2500,1,1,1,0,0,31250,0,70000
0,1,0,20,0,1,0,0,1,0,1,1,1,1,1,40000,2000,1,1,1,0,0,20000,0,40000
0,1,0,10,1,0,0,0,1,0,0,1,1,1,1,30000,1000,1,1,1,0,0,90909.09091,0,30000
250000,0,0,20,0,1,0,0,1,0,0,1,1,1,1,50000,3000,1,1,1,0,2.00E+05,25000,0,50000
0,1,0,20,1,0,0,0,1,0,1,1,1,1,1,20000,5000,1,1,1,0,40000,40000,0,20000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,1,70000,4000,1,1,1,0,0,40000,0,70000
20000,0,0,10,0,0,0,0,1,0,0,0,0,1,0,60000,10000,1,1,1,0,0,25000,1,60000
120000,0,0,20,1,0,0,0,0,0,0,0,0,1,1,30000,12000,1,1,1,0,0,6887.052342,1,30000
160000,0,1,10,0,0,0,0,0,0,0,1,0,1,1,60000,2000,0,0,1,0,0,9302.325581,0,60000
1.00E+05,1,0,30,1,0,0,0,1,0,0,0,0,1,1,15000,1000,0,0,1,0,0,4716.981132,0,15000
0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,2000,1,1,1,1,0,12500,1,0
1.00E+05,0,0,4,0,1,0,0,0,0,1,0,0,1,1,0,10000,1,1,1,0,318000,36496.35036,1,0
40000,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,10000,1,1,1,0,0,21645.02165,1,0
50000,0,0,4,1,0,0,0,0,0,0,0,0,1,0,20000,10000,1,1,1,0,310000,10000,1,20000
70000,0,0,8,0,0,0,0,0,0,0,0,1,1,0,50000,10000,1,1,1,0,0,11627.90698,1,50000
40000,0,0,2,0,0,0,0,0,0,0,0,0,1,0,40000,10000,1,1,1,1,0,45454.54545,1,
50000,0,0,2,0,0,0,0,0,0,0,0,0,1,0,50000,10000,1,1,1,0,0,16129.03226,1,50000
140000,0,0,2,0,0,0,0,0,0,0,0,0,1,0,50000,20000,1,1,1,1,369000,11904.7619,1,50000
49000,0,0,2,0,0,0,0,0,0,0,0,1,1,0,30000,10000,1,1,1,1,0,16129.03226,1,30000
80000,0,0,2,0,0,0,0,1,0,0,0,1,1,0,30000,10000,1,1,1,1,0,10000,1,30000
95000,0,0,20,0,0,0,0,0,0,0,1,0,1,0,50000,10000,1,1,1,1,297000,39682.53968,1,50000
75000,0,0,3,0,0,0,0,1,0,0,0,1,1,0,20000,10000,1,1,1,1,50000,15151.51515,1,20000
30000,0,0,7,0,0,0,0,0,0,0,0,1,1,0,30000,10000,1,1,1,1,120000,16666.66667,1,30000
47600,0,1,10,0,0,0,0,0,0,0,0,0,1,1,20000,20000,0,0,1,0,75000,22727.27273,1,20000
70000,0,0,20,0,1,0,0,1,0,0,0,1,1,0,30000,2000,0,0,1,1,50000,12500,0,30000
50000,0,0,20,1,0,0,0,0,0,0,0,1,1,0,30000,0,0,0,1,0,0,8333.333333,1,30000
0,1,0,20,1,0,0,0,0,0,0,0,0,0,1,10000,10000,0,0,0,0,0,15000,0,10000
40000,0,0,20,1,1,1,1,1,0,1,1,1,1,0,18000,2000,1,1,1,1,43000,9803.921569,1,
25000,0,0,2,0,0,0,0,0,0,0,0,1,1,0,20000,20000,1,1,1,1,0,4178.272981,1,20000
50000,0,0,15,0,0,0,0,0,0,0,0,1,1,1,70000,3000,1,1,1,1,137000,12500,1,70000
1.00E+05,0,0,5,0,0,0,0,0,0,0,0,1,1,0,20000,15000,1,1,1,1,85000,41666.66667,1,20000
140000,0,0,10,0,0,0,0,1,0,0,0,0,1,0,50000,8000,1,1,1,0,120000,22727.27273,1,50000
75000,0,0,4,0,0,0,0,0,0,0,0,0,1,0,30000,2000,0,0,1,0,245000,-11904.7619,1,30000
55000,0,0,8,0,0,0,0,1,0,0,0,0,1,0,40000,20000,1,0,1,0,70000,41666.66667,1,40000
230000,0,0,20,0,0,0,0,1,0,0,0,0,1,0,35000,20000,1,0,1,0,0,10869.56522,1,35000
70000,0,1,4,0,0,0,0,1,0,0,0,0,1,1,0,20000,1,1,1,1,0,18181.81818,1,0
85000,0,0,20,0,0,0,0,0,0,0,0,0,1,0,50000,10000,1,1,1,1,189000,6993.006993,1,50000
50000,0,0,15,0,0,0,0,1,0,0,0,1,1,0,20000,10000,1,1,1,1,95000,4878.04878,1,
80000,0,0,2,0,0,0,0,0,0,0,0,0,1,0,20000,10000,1,1,1,1,0,16666.66667,1,20000
1.00E+05,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,1000,0,0,1,1,0,40000,0,0
50000,0,0,5,0,0,0,0,1,1,0,0,0,1,1,20000,2000,0,0,1,0,35000,12121.21212,1,20000
50000,0,0,20,0,0,0,0,0,0,0,0,0,1,0,50000,15000,0,0,1,0,0,-13636.36364,1,50000
0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,20000,10000,1,1,1,0,0,8333.333333,0,20000
150000,0,0,25,1,0,0,0,0,0,0,0,0,1,0,30000,10000,1,1,0,0,75000,25000,1,30000
150000,0,0,20,0,0,0,0,0,0,0,0,0,0,1,30000,10000,1,1,1,0,40000,21551.72414,1,30000
20000,0,0,15,0,0,0,0,0,0,0,0,0,0,1,20000,10000,1,1,1,0,0,41666.66667,1,20000
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30000,10000,1,1,1,0,0,6097.560976,1,30000
150000,0,0,20,0,0,0,0,0,0,0,0,0,1,0,30000,10000,0,0,0,0,0,47619.04762,1,30000
1.00E+05,0,0,10,1,0,0,0,0,0,0,0,0,0,1,50000,10000,1,1,1,0,75000,80000,1,50000
1.00E+05,0,0,10,0,0,0,0,0,0,0,0,0,0,1,30000,10000,0,0,1,1,0,10000,1,30000
0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,30000,10000,1,1,1,0,87500,5000,1,30000
0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,80000,10000,0,0,1,0,0,3780.718336,1,80000
124000,0,0,30,1,0,0,0,0,0,0,0,0,1,0,30000,5000,0,0,1,0,0,6666.666667,1,30000
0,1,0,3,0,0,0,0,0,0,0,0,0,1,1,20000,10000,0,0,1,1,50000,25000,1,20000
180000,0,0,25,1,0,0,0,0,0,0,0,0,0,1,30000,10000,0,0,1,0,50000,50000,1,30000
0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,80000,10000,0,0,1,0,0,71428.57143,1,80000
19000,0,0,35,1,0,0,0,0,0,0,0,0,1,0,20000,4000,0,0,0,0,87000,30000,1,20000
0,1,0,20,0,0,0,0,0,0,1,0,0,1,0,25000,10000,0,0,1,0,0,37500,1,25000
85000,0,0,8,0,0,0,0,0,0,0,0,0,1,0,30000,2000,1,1,1,1,0,10000,1,30000
40000,0,0,20,1,1,0,0,1,0,1,0,0,1,0,30000,2000,1,1,1,1,90000,15625,1,30000
85000,0,1,5,0,0,0,0,0,0,0,1,0,1,0,30000,1000,1,1,1,1,85000,27272.72727,1,30000
0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2000,1,1,1,1,0,4000,1,0
165000,0,1,5,0,0,0,0,1,0,0,0,0,1,0,20000,20000,1,1,1,0,75000,5555.555556,1,20000
60000,0,0,15,1,0,0,0,0,0,1,1,0,1,0,40000,2000,0,0,1,0,50000,5791.505792,1,40000
2.00E+05,0,1,10,0,0,0,0,0,0,0,0,0,1,0,30000,20000,0,0,1,0,75000,6250,1,30000
50000,0,0,15,0,1,1,0,0,0,1,1,0,1,0,15000,10000,1,1,1,0,0,10000,1,15000
150000,0,0,10,0,0,0,0,1,1,0,1,0,1,1,30000,2000,0,0,1,1,72500,11666.66667,1,30000
0,1,0,10,1,0,0,0,1,1,0,1,0,1,1,20000,1000,0,0,1,0,0,10000,1,20000
150000,0,0,15,0,0,0,0,0,0,0,0,0,1,1,5000,2000,0,0,1,0,0,4545.454545,0,5000
1.00E+05,0,0,20,1,0,0,0,0,0,0,0,0,1,0,20000,10000,0,0,1,0,0,30000,0,20000
50000,0,0,20,0,0,0,0,0,0,0,1,1,1,1,35000,1000,0,0,1,0,0,12500,0,35000
50000,0,0,5,1,0,0,0,0,0,0,0,1,1,1,35000,1000,1,1,1,0,0,12605.04202,0,35000
1.00E+05,0,1,20,1,0,0,0,0,0,0,1,0,1,1,55000,0,0,0,0,0,0,16666.66667,1,55000
1.00E+05,0,0,18,0,0,0,0,0,0,0,0,1,1,1,80000,10000,0,0,1,0,0,20454.54545,0,80000
2.00E+05,0,0,3,0,0,0,0,0,0,0,0,0,1,1,50000,2000,0,0,1,0,35000,-6349.206349,1,50000
190000,0,0,20,0,0,0,0,1,0,0,0,0,1,1,40000,5000,0,0,1,0,0,9302.325581,1,40000
50000,1,0,15,0,0,0,0,0,0,1,0,0,1,0,75000,0,0,0,1,0,152500,25694.44444,0,75000
50000,0,0,25,1,0,0,0,1,0,1,0,1,1,0,50000,0,1,1,1,1,165000,6666.666667,0,50000
250000,0,0,20,0,0,0,0,0,0,0,1,0,1,0,30000,2000,0,0,1,0,0,1666.666667,0,30000
1.00E+05,1,0,3,0,0,0,0,0,0,0,0,0,0,0,30000,0,1,1,1,0,169680,12500,1,30000
